Statistical results for 1000 runs.

random_nodes_min_dom_sets(G, p= 20)
threshold	duration
False	0.21738696098327637
False	0.22018671035766602
False	0.21871113777160645
False	0.21778440475463867
False	0.24666428565979004
False	0.2214820384979248
False	0.22198128700256348
False	0.22408437728881836
False	0.22179388999938965
False	0.2210860252380371
False	0.22455811500549316
False	0.22180914878845215
False	0.22272038459777832
False	0.22365593910217285
False	0.22348666191101074
False	0.2226109504699707
False	0.2226550579071045
False	0.2265634536743164
False	0.23123526573181152
False	0.24149513244628906
False	0.22993707656860352
False	0.22585129737854004
False	0.22509980201721191
False	0.22292232513427734
False	0.22651219367980957
False	0.2210078239440918
False	0.21925950050354004
False	0.22330951690673828
False	0.22360563278198242
False	0.22420716285705566
False	0.22372674942016602
False	0.21830034255981445
False	0.217698335647583
False	0.21511101722717285
False	0.23765230178833008
False	0.2204587459564209
False	0.2172389030456543
False	0.22339463233947754
False	0.21990156173706055
False	0.2230825424194336
False	0.22050976753234863
False	0.22524404525756836
False	0.2249150276184082
False	0.22410011291503906
False	0.22650551795959473
False	0.22188615798950195
False	0.22917556762695312
False	0.2179243564605713
False	0.22311735153198242
False	0.23855829238891602
False	0.2251431941986084
False	0.22292375564575195
False	0.22098970413208008
False	0.22150635719299316
False	0.21986699104309082
False	0.2187638282775879
False	0.2179255485534668
False	0.22050046920776367
False	0.22094321250915527
False	0.22327947616577148
False	0.222609281539917
False	0.22367405891418457
False	0.22140145301818848
False	0.223372220993042
False	0.24047422409057617
False	0.21764135360717773
False	0.22609925270080566
False	0.22553038597106934
False	0.22017288208007812
False	0.22120356559753418
False	0.22760272026062012
False	0.22362089157104492
False	0.24016928672790527
False	0.22120976448059082
False	0.21976876258850098
False	0.23025107383728027
False	0.2233288288116455
False	0.226043701171875
False	0.21966218948364258
False	0.23667120933532715
False	0.22002172470092773
False	0.22583317756652832
False	0.223893404006958
False	0.22713971138000488
False	0.22956085205078125
False	0.22294998168945312
False	0.224348783493042
False	0.2229173183441162
False	0.22929024696350098
False	0.21970677375793457
False	0.2196178436279297
False	0.2189044952392578
False	0.2207028865814209
False	0.2204117774963379
False	0.23492860794067383
False	0.21818161010742188
False	0.2239668369293213
False	0.2198193073272705
False	0.21882152557373047
False	0.22866582870483398
False	0.2199101448059082
False	0.21951007843017578
False	0.23426604270935059
False	0.21965694427490234
False	0.2211005687713623
False	0.2223801612854004
False	0.23453736305236816
False	0.2253732681274414
False	0.22153949737548828
False	0.23182010650634766
False	0.22415876388549805
False	0.2237241268157959
False	0.22359156608581543
False	0.21895742416381836
False	0.22379493713378906
False	0.22578644752502441
False	0.22216582298278809
False	0.22318696975708008
False	0.2215123176574707
False	0.22485947608947754
False	0.2216477394104004
False	0.21829509735107422
False	0.2242755889892578
False	0.22562146186828613
False	0.23334169387817383
False	0.219329833984375
False	0.21998167037963867
False	0.22247838973999023
False	0.21763277053833008
False	0.21804475784301758
False	0.23510980606079102
False	0.21622347831726074
False	0.21997404098510742
False	0.22340893745422363
False	0.22357511520385742
False	0.22373485565185547
False	0.22241997718811035
False	0.2267744541168213
False	0.22395801544189453
False	0.24549007415771484
False	0.22417664527893066
False	0.2158200740814209
False	0.22289657592773438
False	0.22256922721862793
False	0.22992873191833496
False	0.23147153854370117
